Team First Last             Ag    G   AB    R    H  2B 3B  HR  RBI  BB   SO    BA   OBP   SLG  SB  CS GDP HBP  SH  SF IBB  OPS
 NYM Jason Vargas           24    2    2    0    0   0  0   0    0   0    0  .000  .000  .000   0   0   0   0   1   0   0 -100
 NYM Philip Humber          24    3    1    0    0   0  0   0    0   0    0  .000  .000  .000   0   0   0   0   1   0   0 -100
 NYM Guillermo Mota         33   50    1    0    0   0  0   0    0   0    0  .000  .000  .000   0   0   0   0   0   0   0 -100
 NYM Chan HoPark            34    1    1    0    0   0  0   0    0   0    1  .000  .000  .000   0   0   0   0   0   0   0 -100
 NYM Joe Smith              23   52    1    0    0   0  0   0    0   0    1  .000  .000  .000   0   0   0   0   0   0   0 -100
 NYM Dave Williams          28    2    1    0    0   0  0   0    0   0    1  .000  .000  .000   0   0   0   0   0   0   0 -100
 MIL Johnny Estrada         31  120  442   40  123  25  0  10   54  12   43  .278  .296  .403   0   0  16   2   1   7   3   78
 MIL Prince Fielder         23  158  573  109  165  35  2  50  119  90  121  .288  .395  .618   2   2   9  14   0   4  21  156
 MIL Rickie Weeks           24  118  409   87   96  21  6  16   36  78  116  .235  .374  .433  25   2   3  14   3   2   5  108
 MIL Ryan Braun             23  113  451   91  146  26  6  34   97  29  112  .324  .370  .634  15   5  13   7   0   5   1  153
 MIL J.J. Hardy             24  151  592   89  164  30  1  26   80  40   73  .277  .323  .463   2   3  13   1   4   1   1  100
 MIL Geoff Jenkins          32  132  420   45  107  24  2  21   64  32  116  .255  .319  .471   2   2   9   9   0   3  10  101
 MIL Bill Hall              27  136  452   59  115  35  0  14   63  40  128  .254  .315  .425   4   5   9   3   1   7   1   89
 MIL Corey Hart             25  140  505   86  149  33  9  24   81  36   99  .295  .353  .539  23   7   6  13   5   7   3  126
 MIL Kevin Mench            29  101  288   39   77  20  3   8   37  16   21  .267  .305  .441   3   1   3   1   0   3   2   90
 MIL Craig Counsell         36  122  282   31   62  12  2   3   24  41   47  .220  .323  .309   4   2   7   3   6   2   4   65
 MIL Tony Graffanino        35   86  231   34   55   8  0   9   30  24   44  .238  .315  .390   0   1   7   3   0   2   6   81
 MIL Damian Miller          37   58  186   19   44   9  0   4   24  14   39  .237  .296  .349   1   0   8   3   0   3   0   66
 MIL Gabe Gross             27   93  183   28   43  12  2   7   24  25   37  .235  .329  .437   3   1   1   1   0   1   2   95
 MIL Tony Gwynn             24   69  123   13   32   3  2   0   10  12   24  .260  .326  .317   8   1   0   0   0   0   1   67
 MIL Joe Dillon             31   39   76   12   26   8  2   0   10   5   14  .342  .390  .500   0   0   2   1   0   0   0  128
 MIL Mike Rivera            30   11   13    2    3   0  0   2    3   1    3  .231  .286  .692   0   0   0   0   1   0   0  141
 MIL Laynce Nix             26   10   12    0    0   0  0   0    0   0    4  .000  .000  .000   0   0   0   0   0   0   0 -100
 MIL Vinny Rottino          27    8    9    0    2   1  0   0    3   0    1  .222  .222  .333   0   0   0   0   0   0   0   41
 MIL Mel Stocker            26    9    3    0    0   0  0   0    0   0    0  .000  .000  .000   4   0   0   0   0   0   0 -100
 MIL Jeff Suppan            32   33   61    4    8   0  0   0    2   3   16  .131  .172  .131   0   0   2   0  11   0   0  -20
 MIL David Bush             27   32   55    2    7   2  0   0    2   0   11  .127  .143  .164   0   0   2   1   6   0   0  -21
 MIL Ben Sheets             28   22   45    1    3   0  0   0    0   0   25  .067  .067  .067   0   0   0   0   6   0   0  -65
 MIL Chris Capuano          28   28   41    2    9   0  0   1    3   2   16  .220  .256  .293   0   0   1   0   5   0   0   41
 MIL Yovani Gallardo        21   20   40    5   10   3  0   2    6   1   10  .250  .268  .475   0   0   1   0   1   0   0   87
 MIL Claudio Vargas         29   27   38    1    5   1  0   0    0   0   10  .132  .132  .158   0   0   0   0   5   0   0  -26
 MIL Carlos Villanueva      23   56   13    1    1   0  0   0    0   0    3  .077  .077  .077   0   0   0   0   4   0   0  -60
 MIL Manny Parra            24    9    9    1    2   2  0   0    2   0    3  .222  .222  .444   0   0   0   0   1   0   0   66
 MIL Scott Linebrink        30   27    1    0    0   0  0   0    0   0    1  .000  .000  .000   0   0   0   0   0   0   0 -100
 MIL Matt Wise              31   53    1    0    1   0  0   0    0   0    0 1.000 1.000 1.000   0   0   0   0   0   0   0  419
 FLA Miguel Olivo           28  122  452   43  107  20  4  16   60  14  123  .237  .262  .405   3   2  13   2   0   1   2   72
 FLA Mike Jacobs            26  114  426   57  113  27  2  17   54  31  101  .265  .317  .458   1   2  12   2   0   1   3  100
 FLA Dan Uggla              27  159  632  113  155  49  3  31   88  68  167  .245  .326  .479   2   1  10  13   4  11   0  108
 FLA Miguel Cabrera         24  157  588   91  188  38  2  34  119  79  127  .320  .401  .565   2   1  17   5   1   7  23  150
 FLA Hanley Ramirez         23  154  639  125  212  48  6  29   81  52   95  .332  .386  .562  51  14  10   7   4   4   3  145
 FLA Josh Willingham        28  144  521   75  138  32  4  21   89  66  122  .265  .364  .463   8   1  11  16   0   1   1  115
 FLA Alfredo Amezaga        29  133  400   46  105  14  9   2   30  35   52  .263  .324  .358  13   7   4   4   4   5   0   79
 FLA Jeremy Hermida         23  123  429   54  127  32  1  18   63  47  105  .296  .369  .501   3   4  10   4   1   3   2  125
 FLA Aaron Boone            34   69  189   27   54  11  0   5   28  21   41  .286  .388  .423   2   0   0  13   1   4   4  113
 FLA Joe Borchard           28   85  179   20   35   9  0   4   19  21   60  .196  .287  .313   4   0   4   2   0   0   3   58
 FLA Cody Ross              26   66  173   35   58  19  0  12   39  20   38  .335  .411  .653   2   0   2   3   0   1   3  173
 FLA Matt Treanor           31   55  171   16   46   7  1   4   19  19   29  .269  .357  .392   0   0   2   5   2   1   1   97
 FLA Alejandro DeAza        23   45  144   14   33   8  2   0    8   6   37  .229  .261  .313   2   0   2   1   5   2   1   50
 FLA Todd Linden            27   85  129   15   35   7  1   1    8  14   36  .271  .347  .364   4   0   4   1   0   0   0   87
 FLA Jason Wood             37   98  117   11   28   6  0   3   26   8   38  .239  .286  .368   0   0   1   0   1   1   0   70
 FLA Reggie Abercrombie     26   35   76   16   15   3  0   2    5   2   22  .197  .238  .316   7   1   1   2   0   0   0   44
 FLA Brett Carroll          24   23   49   10    9   1  0   0    2   3   15  .184  .231  .204   0   0   1   0   1   0   0   16
 FLA Eric Reed              26   18   20    3    2   0  0   0    0   1    6  .100  .143  .100   1   0   0   0   0   0   0  -35
 FLA Robert Andino          23    7   13    0    5   1  0   0    0   0    2  .385  .385  .462   0   0   0   0   0   0   0  121
 FLA Paul Hoover            31    3    8    1    3   0  0   0    0   0    2  .375  .375  .375   0   0   0   0   0   0   0   98
 FLA John Gall              29    3    4    0    0   0  0   0    0   0    1  .000  .200  .000   0   0   1   1   0   0   0  -41
 FLA Dontrelle Willis       25   36   63   11   18   2  3   2    7   5   13  .286  .348  .508   0   1   1   1  11   0   0  121
 FLA Scott Olsen            23   32   51    3    9   3  0   0    3   1   23  .176  .192  .235   0   0   0   0   9   0   0   12
 FLA Sergio Mitre           26   24   38    0    3   1  0   0    0   2   19  .079  .125  .105   0   0   1   0   7   0   0  -39
 FLA Byung-Hyun Kim         28   21   30    0    2   1  0   0    1   2   11  .067  .125  .100   0   0   0   0   7   0   0  -40
 FLA Rick VandenHurk        22   17   23    1    1   0  0   0    0   1   12  .043  .083  .043   0   0   0   0   3   0   0  -65
 FLA Wes Obermueller        30   16   16    1    1   1  0   0    0   0    4  .063  .063  .125   0   0   0   0   3   0   0  -52
 FLA Anibal Sanchez         23    6   11    1    1   0  0   0    0   2    7  .091  .231  .091   0   0   0   0   1   0   0  -11
