territory	total(sqkm)	total(sqmi)	land(sqkm)	land(sqmi)	water(sqkm)	water(sqmi)	water
Maldives	298	115	298	115	0	0	0
CaymanIslands	264	102	264	102	0	0	0
SaintKittsandNevis	261	101	261	101	0	0	0
Niue	260	100	260	100	0	0	0
SaintPierreandMiquelon	242	93	242	93	0	0	0
CookIslands	236	91	236	91	0	0	0
AmericanSamoa	199	77	199	77	0	0	0
Aruba	180	69	180	69	0	0	0
Liechtenstein	160	62	160	62	0	0	0
BritishVirginIslands	151	58	151	58	0	0	0
WallisandFutuna	142	55	142	55	0	0	0
ChristmasIsland	135	52	135	52	0	0	0
Jersey	116	45	116	45	0	0	0
Montserrat	102	39	102	39	0	0	0
Anguilla	91	35	91	35	0	0	0
Guernsey	78	30	78	30	0	0	0
SanMarino	61	24	61	24	0	0	0
Bermuda	54	21	54	21	0	0	0
BouvetIsland	49	19	49	19	0	0	0
PitcairnIslands	47	18	47	18	0	0	0
NorfolkIsland	36	14	36	14	0	0	0
SintMaarten	34	13	34	13	0	0	0
Macau	28.2	10.9	28.2	10.9	0	0	0
Tuvalu	26	10	26	10	0	0	0
Nauru	21	8.1	21	8.1	0	0	0
CocosIslands	14	5.4	14	5.4	0	0	0
Tokelau	12	4.6	12	4.6	0	0	0
Gibraltar	6.5	2.5	6.5	2.5	0	0	0
WakeIsland	6.5	2.5	6.5	2.5	0	0	0
ClippertonIsland	6	2.3	6	2.3	0	0	0
NavassaIsland	5.4	2.1	5.4	2.1	0	0	0
AshmoreandCartierIslands	5	1.9	5	1.9	0	0	0
Monaco	2	0.77	2	0.77	0	0	0
VaticanCity	0.44	0.17	0.44	0.17	0	0	0
